geometry,elevation,latitude,longitude
POINT (121.30368297328762 24.406205573765167),2126.807794273894,24.406205573765167,121.30368297328762
POINT (121.30361548387049 24.40627422482363),2126.9265136702516,24.40627422482363,121.30361548387049
POINT (121.3037764336523 24.406407486978615),2125.2303167450655,24.406407486978615,121.3037764336523
POINT (121.30391914703972 24.406196961729503),2129.3391667981805,24.406196961729503,121.30391914703972
POINT (121.30466909312503 24.40613090536276),2136.5021743421057,24.40613090536276,121.30466909312503
POINT (121.3050458311156 24.405923736918105),2139.347296048427,24.405923736918105,121.3050458311156
POINT (121.30551552867291 24.405944505933945),2137.6628024848515,24.405944505933945,121.30551552867291
POINT (121.30554344016382 24.40603507277274),2133.7620081712375,24.40603507277274,121.30554344016382
POINT (121.30541334268804 24.406117763087078),2142.575216630495,24.406117763087078,121.30541334268804
POINT (121.30528700274144 24.40600158333456),2144.7023220744554,24.40600158333456,121.30528700274144
POINT (121.30483924078142 24.406435353403765),2159.3250338019493,24.406435353403765,121.30483924078142
POINT (121.30402304284661 24.406818248871364),2167.9702475629697,24.406818248871364,121.30402304284661
POINT (121.30380372578442 24.407208121730918),2174.9491509395643,24.407208121730918,121.30380372578442
POINT (121.30397248097451 24.407175307887563),2176.3478578935546,24.407175307887563,121.30397248097451
POINT (121.30421965700278 24.40686889832977),2177.6871352178705,24.40686889832977,121.30421965700278
POINT (121.30501095671129 24.40683257185266),2187.896279814354,24.40683257185266,121.30501095671129
POINT (121.30558147759918 24.406958498631948),2184.1650443253884,24.406958498631948,121.30558147759918
POINT (121.30553034009988 24.40707730362965),2185.0567345947193,24.40707730362965,121.30553034009988
POINT (121.30523284902657 24.406927981243623),2193.6961787079113,24.406927981243623,121.30523284902657
POINT (121.30477672957245 24.40719914827215),2204.1878623407297,24.40719914827215,121.30477672957245
POINT (121.30474485370341 24.407280288838276),2206.7463843654273,24.407280288838276,121.30474485370341
POINT (121.30489885257545 24.40721526812724),2205.7468380498717,24.40721526812724,121.30489885257545
POINT (121.30500122086954 24.407360192603864),2208.1116139354926,24.407360192603864,121.30500122086954
POINT (121.30526553081626 24.407372927960452),2210.323445147201,24.407372927960452,121.30526553081626
POINT (121.30521188641897 24.407717009576185),2215.327099346863,24.407717009576185,121.30521188641897
POINT (121.3045 24.408),2229.0707895222936,24.408,121.3045
POINT (121.30439124660866 24.408231687192288),2227.7397040147625,24.408231687192288,121.30439124660866
POINT (121.30384583834837 24.408985978866987),2229.9724448328957,24.408985978866987,121.30384583834837
POINT (121.30364770085055 24.409258728808595),2230.7785786157383,24.409258728808595,121.30364770085055
POINT (121.30308740501336 24.409573665987775),2227.100755388321,24.409573665987775,121.30308740501336
POINT (121.30277428290876 24.409835472449043),2227.932469629952,24.409835472449043,121.30277428290876
POINT (121.30286361361976 24.410461888993385),2243.214866699409,24.410461888993385,121.30286361361976
POINT (121.3030134598448 24.41094900729242),2231.933192151449,24.41094900729242,121.3030134598448
POINT (121.30282260992804 24.411363642569118),2236.4388096113303,24.411363642569118,121.30282260992804
POINT (121.30268149271541 24.411669921218987),2245.6962680419488,24.411669921218987,121.30268149271541
POINT (121.30265156400458 24.412258969633953),2241.0766188901193,24.412258969633953,121.30265156400458
POINT (121.30249596687145 24.412565765841133),2244.1741615512133,24.412565765841133,121.30249596687145
POINT (121.30257476798454 24.413164228430425),2241.4533606662053,24.413164228430425,121.30257476798454
POINT (121.3025768262378 24.413419206975682),2249.8450964558965,24.413419206975682,121.3025768262378
POINT (121.302781 24.414028),2249.8450964558965,24.414028,121.302781
