geometry,elevation,latitude,longitude
POINT (121.307024 24.416829),2632.3,24.416829,121.307024
POINT (121.306878 24.417609),2596.3,24.417609,121.306878
POINT (121.306966 24.4178),2651.1,24.4178,121.306966
POINT (121.307128 24.418351),2624.9,24.418351,121.307128
POINT (121.306623 24.419),2700.3,24.419,121.306623
POINT (121.306483 24.419586),2653.3,24.419586,121.306483
POINT (121.305614 24.419988),2754.8,24.419988,121.305614
POINT (121.305347 24.420311),2700.3,24.420311,121.305347
POINT (121.305347 24.420427),2770.1,24.420427,121.305347
POINT (121.305291 24.420519),2708.7,24.420519,121.305291
POINT (121.305289 24.420554),2777.4,24.420554,121.305289
POINT (121.305317 24.420661),2717.1,24.420661,121.305317
POINT (121.305386 24.420707),2784.3,24.420707,121.305386
POINT (121.305368 24.420793),2725.4,24.420793,121.305368
POINT (121.305311 24.420872),2790.8,24.420872,121.305311
POINT (121.305342 24.420938),2732.2,24.420938,121.305342
POINT (121.305371 24.420962),2798.2,24.420962,121.305371
POINT (121.305384 24.420996),2740.0,24.420996,121.305384
POINT (121.305399 24.42114),2743.5,24.42114,121.305399
POINT (121.305395 24.421166),2807.3,24.421166,121.305395
POINT (121.305333 24.421578),2756.9,24.421578,121.305333
POINT (121.305195 24.421806),2828.6,24.421806,121.305195
POINT (121.305305 24.422319),2781.0,24.422319,121.305305
POINT (121.30469 24.422389),2858.0,24.422389,121.30469
POINT (121.304831 24.422851),2817.8,24.422851,121.304831
POINT (121.304958 24.423189),2887.6,24.423189,121.304958
POINT (121.304887 24.423525),2836.0,24.423525,121.304887
POINT (121.304826 24.423651),2906.0,24.423651,121.304826
POINT (121.304829 24.424153),2852.0,24.424153,121.304829
POINT (121.304563 24.424252),2942.8,24.424252,121.304563
POINT (121.304434 24.424471),2864.9,24.424471,121.304434
POINT (121.304356 24.424862),2977.9,24.424862,121.304356
POINT (121.304397 24.42501),2883.6,24.42501,121.304397
POINT (121.304456 24.4251),2990.0,24.4251,121.304456
POINT (121.304309 24.425429),2900.8,24.425429,121.304309
POINT (121.304139 24.425613),3020.9,24.425613,121.304139
POINT (121.303869 24.425813),2927.1,24.425813,121.303869
POINT (121.303658 24.426104),3050.3,24.426104,121.303658
POINT (121.30377 24.4264),2959.9,24.4264,121.30377
POINT (121.303748 24.426397),2959.9,24.426397,121.303748
POINT (121.303686 24.426605),3070.8,24.426605,121.303686
POINT (121.303505 24.426708),2984.1,24.426708,121.303505
POINT (121.303313 24.426727),3080.4,24.426727,121.303313
POINT (121.303316 24.427053),3008.9,24.427053,121.303316
POINT (121.303578 24.427498),3098.5,24.427498,121.303578
POINT (121.303695 24.427517),3041.5,24.427517,121.303695
POINT (121.30369 24.427729),3107.2,24.427729,121.30369
POINT (121.303814 24.427772),3055.0,24.427772,121.303814
POINT (121.303691 24.428027),3118.5,24.428027,121.303691
POINT (121.303596 24.428065),3070.8,24.428065,121.303596
POINT (121.303784 24.428197),3125.6,24.428197,121.303784
POINT (121.304023 24.428315),3083.1,24.428315,121.304023
POINT (121.304088 24.428753),3143.6,24.428753,121.304088
POINT (121.303986 24.428879),3093.6,24.428879,121.303986
POINT (121.304103 24.428866),3152.4,24.428866,121.304103
POINT (121.304118 24.428996),3098.5,24.428996,121.304118
POINT (121.303995 24.429164),3165.2,24.429164,121.303995
POINT (121.304148 24.429175),3107.2,24.429175,121.304148
POINT (121.304086 24.429297),3174.3,24.429297,121.304086
POINT (121.304253 24.430197),3136.3,24.430197,121.304253
POINT (121.304578 24.430515),3234.3,24.430515,121.304578
POINT (121.304859 24.43062),3165.2,24.43062,121.304859
POINT (121.30492 24.430769),3242.9,24.430769,121.30492
POINT (121.304895 24.4314),3202.0,24.4314,121.304895
POINT (121.304841 24.431687),3252.4,24.431687,121.304841
POINT (121.304811 24.432065),3231.3,24.432065,121.304811
POINT (121.30463 24.43251),3243.5,24.43251,121.30463
POINT (121.304842 24.432463),3243.5,24.432463,121.304842
POINT (121.304902 24.432506),3242.9,24.432506,121.304902
POINT (121.304903 24.43264),3261.3,24.43264,121.304903
POINT (121.304677 24.432758),3237.5,24.432758,121.304677
POINT (121.304402 24.43277),3235.2,24.43277,121.304402
POINT (121.30417 24.432821),3252.3,24.432821,121.30417
POINT (121.303858 24.432787),3254.0,24.432787,121.303858
POINT (121.303645 24.432844),3227.1,24.432844,121.303645
POINT (121.303446 24.432871),3247.2,24.432871,121.303446
POINT (121.303308 24.432853),3247.4,24.432853,121.303308
POINT (121.30318 24.432899),3245.0,24.432899,121.30318
POINT (121.302801 24.432972),3225.3,24.432972,121.302801
POINT (121.302643 24.433195),3224.2,24.433195,121.302643
POINT (121.304903 24.43263),3242.4,24.43263,121.304903
POINT (121.304962 24.433054),3235.6,24.433054,121.304962
POINT (121.305425 24.433276),3245.6,24.433276,121.305425
POINT (121.306536 24.433715),3222.9,24.433715,121.306536
POINT (121.307 24.433826),3235.1,24.433826,121.307
POINT (121.307175 24.434421),3192.3,24.434421,121.307175
POINT (121.307241 24.434615),3235.2,24.434615,121.307241
POINT (121.307262 24.434674),3180.9,24.434674,121.307262
POINT (121.308266 24.435646),3199.5,24.435646,121.308266
POINT (121.308368 24.436226),3153.1,24.436226,121.308368
POINT (121.308938 24.436421),3165.6,24.436421,121.308938
POINT (121.30897 24.436605),3149.3,24.436605,121.30897
POINT (121.309461 24.436825),3156.9,24.436825,121.309461
POINT (121.31012 24.436741),3144.9,24.436741,121.31012
POINT (121.310384 24.436568),3151.8,24.436568,121.310384
POINT (121.310742 24.436551),3143.6,24.436551,121.310742
POINT (121.311433 24.437058),3146.6,24.437058,121.311433
POINT (121.312061 24.436763),3148.2,24.436763,121.312061
POINT (121.312548 24.437077),3143.7,24.437077,121.312548
POINT (121.312763 24.437092),3150.4,24.437092,121.312763
POINT (121.313098 24.437864),3147.1,24.437864,121.313098
POINT (121.313694 24.43815),3146.8,24.43815,121.313694
POINT (121.313687 24.438421),3150.3,24.438421,121.313687
POINT (121.313827 24.438676),3146.8,24.438676,121.313827
POINT (121.314586 24.438927),3148.1,24.438927,121.314586
POINT (121.314901 24.439505),3150.2,24.439505,121.314901
POINT (121.314916 24.439565),3150.4,24.439565,121.314916
POINT (121.314999 24.439901),3150.6,24.439901,121.314999
POINT (121.31542 24.44041),3131.4,24.44041,121.31542
POINT (121.316045 24.440452),3148.8,24.440452,121.316045
POINT (121.316475 24.440783),3113.9,24.440783,121.316475
POINT (121.317071 24.441763),3124.3,24.441763,121.317071
POINT (121.317127 24.441881),3102.0,24.441881,121.317127
POINT (121.317496 24.442667),3111.3,24.442667,121.317496
POINT (121.317434 24.442872),3091.7,24.442872,121.317434
POINT (121.317802 24.444019),3098.2,24.444019,121.317802
POINT (121.317831 24.444277),3077.1,24.444277,121.317831
POINT (121.318201 24.444688),3090.5,24.444688,121.318201
POINT (121.318402 24.44513),3074.8,24.44513,121.318402
POINT (121.318667 24.445456),3081.0,24.445456,121.318667
POINT (121.318617 24.445977),3075.2,24.445977,121.318617
POINT (121.318881 24.446279),3075.5,24.446279,121.318881
POINT (121.318988 24.446612),3075.2,24.446612,121.318988
POINT (121.319682 24.44734),3077.4,24.44734,121.319682
POINT (121.320037 24.447801),3075.1,24.447801,121.320037
POINT (121.320274 24.448207),3084.9,24.448207,121.320274
POINT (121.320584 24.448571),3090.7,24.448571,121.320584
POINT (121.32094 24.448741),3078.0,24.448741,121.32094
POINT (121.321178 24.449615),3101.2,24.449615,121.321178
POINT (121.321294 24.449994),3111.0,24.449994,121.321294
POINT (121.32139 24.45003),3111.0,24.45003,121.32139
