latitude,longitude,elevation
24.397295771832898,121.30733951690434,1898.1766648050398
24.397242535285347,121.30740138041524,1895.99771215779
24.39723785985579,121.30691002696415,1900.74081464042
24.397,121.3077,1400.0
24.397268852670553,121.30748260970084,1896.326044665023
24.39726528490749,121.30727613330976,1895.4456274233526
24.39696781404116,121.30754325809018,1895.9857327567365
24.39709100975444,121.30766312098027,1895.719364390448
24.397297395811812,121.30708484390593,1896.366410966585
24.397091648504173,121.30747759325874,1897.3668262588997
24.397340726177074,121.30727776376888,1896.1462655761072
24.39715528745526,121.30735993806107,1897.7537046107818
24.39728984396267,121.30712533131347,1895.829027850057
24.397111734462488,121.30732547138777,1896.3936141219192
24.39719821873846,121.30733058898934,1896.2931963558362
24.397102460969634,121.30716161500388,1897.4575641179124
24.39701637465029,121.3072436134024,1898.3406506012068
24.39716671155616,121.30723908333601,1900.2456903949599
24.396866249474908,121.30735270288751,1897.7028555437098
24.39704175822705,121.3079329295931,1891.689074724581
24.397378034509746,121.3079384834654,1888.2065904456763
24.3989,121.3083,1450.0
24.397715469726364,121.30776819274506,1890.9460355202707
24.398037948490817,121.30790246081104,1896.1096706564194
24.398906049118246,121.3081806349895,1906.8654427456202
24.399155066960557,121.30833635019597,1911.0398418469829
24.39973863629532,121.30774329658642,1921.7896599638548
24.40057718214382,121.3073717248651,1926.2302633905974
24.401407959618602,121.3069653572575,1944.1896796051171
24.40195822325904,121.30684637132804,1943.991270141005
24.40233443945635,121.30699700326035,1956.2880743732776
24.403235186176037,121.30715132901268,1964.5321884301845
24.404138234600495,121.30729317614299,1972.1680193722868
24.405041518748106,121.30755043508618,1982.7639409200865
24.405128644509478,121.30751767620936,1987.942260751764
24.40502978233482,121.30765190039789,1983.2981052442854
24.405197415735636,121.30763446796978,1981.147310466318
24.405251709117138,121.30747161604621,1983.8174667183787
24.404990528620385,121.30720351694879,1993.0822428644055
24.40427637379819,121.30698880623513,1991.350600425977
24.404095375525674,121.30701891537973,1994.133621513659
24.403455566675362,121.30656673010076,1997.2339752125192
24.402880655854016,121.30617334053456,1998.0415088067766
24.40292924065413,121.30607967253111,1996.861534269589
24.403374045442725,121.3062059637503,2008.6906316843379
24.40392512620781,121.30569289103865,2026.4583152599319
24.404341706119457,121.3048057990762,2039.2196219323278
24.404423449079605,121.30454513695017,2044.6244841014186
24.4282,121.2668,3524.0
24.431111,121.28815,3303.0
24.426696,121.29296,3000.0
24.416849,121.29899,2600.0
24.408,121.3045,2200.0
24.404873588729135,121.30400170721803,2058.185761334895
24.405450415661818,121.3032231728924,2062.568742390921
24.4057420564854,121.30303017147884,2068.018310469737
24.405757313800322,121.30269750906878,2080.612319847958
24.40592711674596,121.30270419305965,2077.5856763072325
