latitude,longitude,elevation
24.397,121.3077,1400.0
24.39924236898166,121.30829328575243,1911.8828662663643
24.399721335508524,121.30786755329879,1921.921469681013
24.40008022006423,121.30753037305159,1924.8718032006793
24.400507102273046,121.30737520441892,1929.4819273660767
24.40131174308535,121.30691619570838,1938.965833455622
24.40221944424623,121.30695325783239,1952.9081076772009
24.403105727900826,121.30716316643682,1955.8474992397753
24.403231485507582,121.30728407402918,1951.6645027262255
24.40400373112469,121.30728324502265,1970.4808781938277
24.40522,121.30758,2100.0
