geometry,elevation,latitude,longitude
POINT (121.30733951690434 24.397295771832898),1898.1766648050398,24.397295771832898,121.30733951690434
POINT (121.30740138041524 24.397242535285347),1895.99771215779,24.397242535285347,121.30740138041524
POINT (121.30691002696415 24.39723785985579),1900.74081464042,24.39723785985579,121.30691002696415
POINT (121.30748260970084 24.397268852670553),1896.326044665023,24.397268852670553,121.30748260970084
POINT (121.30727613330976 24.39726528490749),1895.4456274233526,24.39726528490749,121.30727613330976
POINT (121.30754325809018 24.39696781404116),1895.9857327567365,24.39696781404116,121.30754325809018
POINT (121.30766312098027 24.39709100975444),1895.719364390448,24.39709100975444,121.30766312098027
POINT (121.30708484390593 24.397297395811812),1896.366410966585,24.397297395811812,121.30708484390593
POINT (121.30747759325874 24.397091648504173),1897.3668262588997,24.397091648504173,121.30747759325874
POINT (121.30727776376888 24.397340726177074),1896.1462655761072,24.397340726177074,121.30727776376888
POINT (121.30735993806107 24.39715528745526),1897.7537046107818,24.39715528745526,121.30735993806107
POINT (121.30712533131347 24.39728984396267),1895.829027850057,24.39728984396267,121.30712533131347
POINT (121.30732547138777 24.397111734462488),1896.3936141219192,24.397111734462488,121.30732547138777
POINT (121.30733058898934 24.39719821873846),1896.2931963558362,24.39719821873846,121.30733058898934
POINT (121.30716161500388 24.397102460969634),1897.4575641179124,24.397102460969634,121.30716161500388
POINT (121.3072436134024 24.39701637465029),1898.3406506012068,24.39701637465029,121.3072436134024
POINT (121.30723908333601 24.39716671155616),1900.2456903949599,24.39716671155616,121.30723908333601
POINT (121.30735270288751 24.396866249474908),1897.7028555437098,24.396866249474908,121.30735270288751
POINT (121.3077 24.397),1894.0208499403898,24.397,121.3077
POINT (121.3079329295931 24.39704175822705),1891.689074724581,24.39704175822705,121.3079329295931
POINT (121.3079384834654 24.397378034509746),1888.2065904456763,24.397378034509746,121.3079384834654
POINT (121.30776819274506 24.397715469726364),1890.9460355202707,24.397715469726364,121.30776819274506
POINT (121.30790246081104 24.398037948490817),1896.1096706564194,24.398037948490817,121.30790246081104
POINT (121.3081806349895 24.398906049118246),1906.8654427456202,24.398906049118246,121.3081806349895
POINT (121.3083 24.3989),1908.2024034304704,24.3989,121.3083
POINT (121.30833635019597 24.399155066960557),1911.0398418469829,24.399155066960557,121.30833635019597
POINT (121.30774329658642 24.39973863629532),1921.7896599638548,24.39973863629532,121.30774329658642
POINT (121.3073717248651 24.40057718214382),1926.2302633905974,24.40057718214382,121.3073717248651
POINT (121.3069653572575 24.401407959618602),1944.1896796051171,24.401407959618602,121.3069653572575
POINT (121.30684637132804 24.40195822325904),1943.991270141005,24.40195822325904,121.30684637132804
POINT (121.30699700326035 24.40233443945635),1956.2880743732776,24.40233443945635,121.30699700326035
POINT (121.30715132901268 24.403235186176037),1964.5321884301845,24.403235186176037,121.30715132901268
